"무더위쉼터명,위도,경도,전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕율3리경로당,36.712133,128.505098,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"문화동 광주은행,35.1732685,126.9258177,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"선암마을 노인정,35.2224153,128.9259749,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"양장골마을 노인정,35.225101,128.9275452,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"양지쉼터,35.5849005,127.958343,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신기쉼터,35.5684932,127.9574391,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상감악쉼터,35.5824814,127.9494005,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"거문 경로당,34.8065272,126.1511403,061-240-8903,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"두정역범양레우스알파 경로당,36.8357,127.1559,041-521-6649,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"별내효성해링턴코트,37.6549716,127.1233821,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"위례 중앙경로당,37.4722,127.1456,null,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주산노휴제,35.6715559,126.7093762,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"화정여성경로당,35.6624819,126.711669,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"농원경로당,35.6659506,126.7058961,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"사산경로당,35.672075,126.6971162,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"산돌경로당,35.6614001,126.6916552,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"송정경로당,35.661395,126.7015043,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신흥경로당,35.6594424,126.6779759,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"돈계도성경로당,35.6808787,126.6990204,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"돈계경로당,35.6788857,126.7010954,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"장산2리경로당,36.705101,128.53874,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"장산2리건신기경로당,36.7035926,128.5514653,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"장산2리가좌골,36.699222,128.535398,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"노은당경로당,36.6650661,128.5101188,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"보문경로당,36.663663,128.512443,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"미호2리경로당,36.664351,128.515893,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우림필유타운하우스 경로당,37.200832,127.0607124,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포스코더샵경로당,37.1993956,127.0693926,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"남산동일하이빌 경로당,36.959387,127.945377,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산주공2단지 경로당,36.962686,127.945902,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"화목 경로당,36.9703361,127.9276639,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"지현 경로당,36.9635062,127.9323792,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"한화꿈에그린 경로당,37.2075254,127.0673326,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우남퍼스트빌 경로당,37.2001278,127.0662408,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"월드반도 경로당,37.2026022,127.0657823,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금호어울림 경로당,37.2056293,127.0668602,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"케이씨씨스위첸 경로당,37.2094943,127.0690546,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"행하경로당,35.7100984,126.7546241,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"연곡경로당,35.7107561,126.7478455,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"회성경로당,35.7047186,126.7461434,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"효동경로당,35.7058757,126.7439619,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상리경로당,35.7051498,126.7424535,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신기경로당,35.7029355,126.7509683,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"월리경로당,35.7007185,126.7481281,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"월신경로당,35.6981806,126.7648531,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"중리경로당,35.7020287,126.7448864,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"구덕경로당,35.6788962,126.730612,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"돌모산경로당,35.6863469,126.7347111,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용정 경로당,36.963853,127.936738,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"남산 경로당,36.95935,127.942446,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동탄복합문화센터도서관,37.2028608,127.0769315,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신일유토빌 경로당,37.2082409,127.075852,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"메타폴리스 제2경로당,37.2027748,127.0682472,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"삼성래미안경로당,37.2009958,127.0700601,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"메타역롯데캐슬 경로당(다숲캐슬경로당),37.2009958,127.0700601,031-5189-1620,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산2구 경로당,36.962196,127.940344,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"영진보람아파트 경로당,36.965827,127.937972,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대림아파트 경로당,36.965676,127.941655,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신원8차아파트 경로당,36.962224,127.940737,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신원10차아파트 경로당,36.964874,127.941791,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산아파트 경로당,36.958635,127.937102,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"용산3주공아파트 경로당,36.961108,127.945499,043-850-6534,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금추경로당,35.7036575,126.7724006,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"행상경로당,35.711698,126.7513992,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포2리 복골 경로당,36.703608,128.517778,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"덕율1리경로당,36.710558,128.498226,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
